Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000,GradoDE00
1.424,41.720253,3.289109,-17.93857,41.657719,4.867814,-16.720016,3.17201,3.06244016332607,2.26753425900935,0.46837299668954185
1.428,41.720253,3.289109,-17.93857,42.077229,5.234933,-18.750866,1.58273,1.5280582090539,1.9802384544281,0.46837299668954185
1.608,64.314461,-0.04561,-0.044272,62.701313,-0.078866,-0.016986,1.4,1.35164019932362,1.35410172167071,0.4805077064456275
7.416,63.78670046345174,0.03242080829907179,0.10035764877245335,61.68871986942695,0.16649838872390132,-0.006524398489138328,2.999064,2.89546818767449,1.7919385620168,0.4805077064456275
1.723,65.826447,-1.626604,5.562673,65.787575,-0.392725,1.412608,4.44,4.28663034642633,3.8801300450876,0.7496765994209834
3.486,66.627518,-1.538718,3.45059,65.99086,0.428235,0.125481,1.71328,1.65409865764083,4.17660785982174,0.7496765994209834
1.731,40.361057,-22.629972,-20.694771,41.008755,-26.057306,-23.354427,2.0,1.93091457046231,1.86667094806585,0.7281429714172173
3.246,39.193775,-23.298607,-22.621935,41.047153,-26.06106,-24.810497,4.00997,3.87145475005837,2.15578470208678,0.7281429714172173
1.731,40.361057,-22.629972,-20.694771,41.008755,-26.057306,-23.354427,2.0,1.93091457046231,1.86667094806585,0.5543666029725087
3.247,39.193775,-23.298607,-22.621935,41.058342,-24.492168,-25.305843,4.48726,4.33225785772635,2.05201069237894,0.5543666029725087
1.1063,39.29266,-21.427395,-21.015078,38.11919,-17.874346,-25.041441,2.56,2.47157065019176,3.34574810281045,0.4568807933465906
3.265,39.193775,-23.298607,-22.621935,36.689003,-19.948847,-26.094618,5.02658,4.85294828079722,3.50878237861095,0.4568807933465906
1.1122,65.592659,30.518431,37.095493,65.981567,26.952259,36.634029,1.27563,1.23156627675942,1.95703230787014,0.7223728667107635
1.1123,65.592659,30.518431,37.095493,65.810898,27.048811,36.836468,2.96128,2.85898934960931,1.93982118211022,0.7223728667107635
1.1153,47.235798,-4.873497,-25.659845,48.373238,-2.047321,-26.305017,1.4988,1.44702737910445,2.52454012384203,0.4625802564185041
1.1310,46.974487,-5.338224,-24.143667,49.019623,-2.420908,-26.008892,3.24092,3.12896982485135,3.07874963823327,0.4625802564185041
1.1302,46.974487,-5.338224,-24.143667,50.08511,-5.116676,-23.47584,1.35755,1.31065653756555,3.11065299128791,0.48227294747315264
1.1314,46.974487,-5.338224,-24.143667,49.130199,-2.920723,-24.231207,3.01147,2.90744565075506,2.96923527867304,0.48227294747315264
1.1549,86.942886,-5.772712,47.495819,87.881874,-7.838681,49.903168,1.35722,1.31033793666143,1.53133486895578,0.5435988157608614
7.240,86.72640091225273,-7.38263127534966,51.29478361952613,88.85627457640994,-7.0765063655120475,46.83697535626528,3.248986,3.13675720331403,1.9517560181401,0.5435988157608614
1.1557,86.942886,-5.772712,47.495819,84.02301,-5.473374,46.072578,1.26056,1.21701683547098,1.96832640882811,0.45125968412156464
7.415,88.85627457640994,-7.076385022080078,46.83691701412658,85.15429599479369,-6.764808738795591,45.60100900775963,3.0163,2.91210880944273,2.42294693343611,0.45125968412156464
1.1559,86.942886,-5.772712,47.495819,83.730927,-4.788652,45.390114,1.14205,1.10260049259824,2.27792317402814,0.5158332456042717
7.415,88.85627457640994,-7.076385022080078,46.83691701412658,85.15429599479369,-6.764808738795591,45.60100900775963,3.0163,2.91210880944273,2.42294693343611,0.5158332456042717
1.1747,62.634056,0.170875,0.072071,62.566681,0.687385,-0.245693,0.752373,0.726383994061219,0.816527837176154,0.45536697513932617
7.412,63.5160681944692,0.10321987948291866,0.08609954516600737,62.02347818323405,0.10674243497249547,0.20088653655014888,2.344096,2.26312456048121,1.2692217359549,0.45536697513932617
3.125,47.858109,-38.116409,-21.61812,48.023544,-38.743229,-24.494772,3.56593,3.44275309712433,1.35788338784508,0.6474662397558902
3.134,47.858109,-38.116409,-21.61812,46.844337,-39.818005,-22.342255,1.45508,1.40481758659415,1.17196206478861,0.6474662397558902
3.134,47.858109,-38.116409,-21.61812,46.844337,-39.818005,-22.342255,1.45508,1.40481758659415,1.17196206478861,0.61940039600665
3.140,47.858109,-38.116409,-21.61812,47.618614,-41.049709,-20.775898,3.15519,3.04620117178849,1.41247363190091,0.61940039600665
3.182,32.936481,59.465057,-0.028572,32.447105,60.62175,0.192366,0.359186,0.346778740453037,0.51057909665252,0.5123108348432976
3.204,32.936481,59.465057,-0.028572,32.641399,59.011467,-1.347765,1.98729,1.91864360836702,0.661850002560288,0.5123108348432976
3.210,31.967999,8.018895,30.25559,30.460339,7.175619,29.245165,0.913541,0.881984813807354,1.36923806334402,0.523235717409079
3.211,31.967999,8.018895,30.25559,30.037085,6.90895,29.704403,2.50604,2.41947457508068,1.73466765938698,0.523235717409079
3.239,39.193775,-23.298607,-22.621935,34.923092,-32.998077,-22.503328,4.12514,3.98264646559844,5.82776293583914,0.6437870817297968
