Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000,GradoDE00
1.118,63.309811,-2.734236,-8.752265,63.060875,-4.211016,-9.062131,2.39492,2.3121929615458,1.70453390560114,0.1331882044108543
1.657,62.969208,-3.033188,-8.750277,62.414665,-3.21093,-7.544514,0.89,0.859256983855727,1.04576035298569,0.1331882044108543
1.119,63.309811,-2.734236,-8.752265,62.709713,-3.14459,-7.358476,1.21478,1.1728182009531,1.29294650562989,0.1198375970946521
1.653,63.433693,-4.418558,-8.409455,62.977551,-2.837946,-8.948474,2.69,2.59708009727181,1.95255225203689,0.1198375970946521
1.121,63.309811,-2.734236,-8.752265,63.819378,-2.540444,-6.947419,1.26328,1.21964287928681,1.39579442039775,0.1288823723066269
1.653,63.433693,-4.418558,-8.409455,62.977551,-2.837946,-8.948474,2.69,2.59708009727181,1.95255225203689,0.1288823723066269
1.123,63.309811,-2.734236,-8.752265,62.60038,-1.832401,-9.797555,1.33025,1.28429955367874,1.50870944880551,0.1463538705252136
1.653,63.433693,-4.418558,-8.409455,62.977551,-2.837946,-8.948474,2.69,2.59708009727181,1.95255225203689,0.1463538705252136
1.185,62.168503,10.465078,29.888308,62.304508,8.696922,28.017298,1.48069,1.42954294766892,1.35032387423713,0.06702467789791676
1.981,61.7318,10.148634,27.097399,61.826405,10.219741,31.749168,3.33,3.21497275981974,2.18091520189485,0.06702467789791676
1.189,62.168503,10.465078,29.888308,62.389271,8.983809,27.163689,1.5526,1.49896898104989,1.39125713452667,0.10251555689838143
1.981,61.7318,10.148634,27.097399,61.826405,10.219741,31.749168,3.33,3.21497275981974,2.18091520189485,0.10251555689838143
1.199,61.671474,20.788679,63.073536,61.877911,22.367519,68.528969,1.49365,1.44205527408551,1.39578583705013,0.12938223736225865
1.883,61.089287,23.645374,69.444633,61.02795,19.554853,65.394859,3.09,2.98326301136427,2.04772311899882,0.12938223736225865
1.203,61.671474,20.788679,63.073536,61.826405,22.45425,68.473656,1.43175,1.38229346812971,1.38081810157587,0.1409712901017358
1.883,61.089287,23.645374,69.444633,61.02795,19.554853,65.394859,3.09,2.98326301136427,2.04772311899882,0.1409712901017358
1.264,22.159967,18.276463,-34.562843,21.726294,17.614317,-35.036835,1.7246,1.66502763410965,0.738438640584272,0.05288482624358728
1.683,21.944368,19.337234,-36.249416,22.124203,19.866697,-36.37027,0.46,0.444110351206331,0.321978827109166,0.05288482624358728
1.367,27.600302,-29.435375,-12.171539,27.407864,-27.469625,-11.203574,0.866388,0.836460606436849,0.947285560493119,0.10133726874719631
1.374,27.600302,-29.435375,-12.171539,27.324867,-27.470087,-13.743175,2.32777,2.24736250484252,1.57773596686567,0.10133726874719631
1.367,27.600302,-29.435375,-12.171539,27.407864,-27.469625,-11.203574,0.866388,0.836460606436849,0.947285560493119,0.2990707142800948
1.887,27.899317,-29.165134,-9.072701,28.353571,-29.090569,-11.229582,2.54,2.45226150448713,1.45624135883702,0.2990707142800948
1.368,27.600302,-29.435375,-12.171539,27.627655,-28.149454,-11.823294,0.636743,0.614748168169941,0.572683268108866,0.0787766512004455
1.375,27.600302,-29.435375,-12.171539,27.600302,-28.433243,-13.823541,2.07724,2.00548649117356,1.264609230782,0.0787766512004455
